category,Godišnja stopa inflacije %,Mjesečna stopa inflacije %
I. 2021,-0.3,0.1
II. 2021,0.3,0.3
III. 2021,1.2,1.1
IV. 2021,2.1,0.7
V. 2021,2.1,0.1
VI. 2021,2,0
VII. 2021,2.8,0.2
VIII. 2021,3.1,0.2
IX. 2021,3.3,1
X. 2021,3.8,1
XI. 2021,4.8,0.7
XII. 2021,5.5,0
I. 2022,5.7,0.3
II. 2022,6.3,0.9
III. 2022,7.3,2.1
IV. 2022,9.4,2.6
V. 2022,10.8,1.4
VI. 2022,12.1,1.1
VII. 2022,12.3,0.4
VIII. 2022,12.3,0.1
IX. 2022,12.8,1.5
X. 2022,13.2,1.3
XI. 2022,13.5,0.9
XII. 2022,13.1,-0.3
I. 2023,12.7,0
II. 2023,12,0.2
III. 2023,10.7,0.9
IV. 2023,8.9,1
V. 2023,7.9,0.5
VI. 2023,7.6,0.9
VII. 2023,7.3,0.2
VIII. 2023,7.8,0.5
IX. 2023,6.7,0.5
X. 2023,5.8,0.5
XI. 2023,4.7,-0.1
XII. 2023,4.5,-0.5
